naye,with him
Papa,Papa
visiwa,islands
mafuta,fat
spishi,species
halisi,real
seli,cells
wale,those
klabu,club
sita,six
the,the
kuzaliwa,born
ubongo,the brain
halafu,then
Italia,Italy
kiongozi,the leader
koloni,colony
kulingana,according to
mama,mother
mvua,the rain
nyumbani,at home
barabara,road
kilimo,agriculture
milima,mountains
Eneo,Location
Kutokana,Due
mimea,plants
kituo,station
kura,lot
Mto,River
huitwa,are called
Idadi,Number
kupunguza,reduce
zilikuwa,were
Asia,Asia
athari,effect
chuo,college
kijeshi,military
Maisha,Life
meli,ship
mingi,many
mpango,plan
zina,they have
dini,religion
kutumika,used
miezi,months
tuzo,award
kina,deep
magonjwa,diseases
kamili,complete
katikati,in the middle
mno,too much
uwezekano,possibility
mkoa,region
New,New
tano,five
viwango,standards
wilaya,district
zenye,containing
Hispania,Spain
kisha,then
mafanikio,success
miwili,two
wazi,clearly
mwendo,movement
urefu,height
vifaa,equipment
Ziwa,Lake
baridi,cold
Januari,January
kushinda,win
mamlaka,authority
mawasiliano,communication
Novemba,November
akili,mind
hicho,that
kiuchumi,economic
kuingia,to enter
mataifa,nations
vitu,things
wanaweza,they can
lina,it has
mapema,earlier
mlima,the mountain
siasa,politics
dalili,symptoms
Desemba,December
ndugu,brothers
badala,instead
bara,continent
kando,apart
kijamii,social
kuishi,to live
Machi,March
namba,number
Oktoba,October
vijana,young people
zinaweza,they can
a,a
bunge,Parliament
China,China
hutumika,is used
Shirika,Organization
viongozi,leaders
wastani,average
baba,father
Jimbo,State
kujenga,to build
toleo,version
vingi,many
jambo,matter
kikuu,staple
kuongeza,to add
hutumia,uses
I,I
majimbo,states
Na,And
alizaliwa,was born
asilia,natural
binafsi,personally
chati,chart
huru,free
kuanza,to begin
mawili,two
mtandao,internet
unaweza,you can
utaratibu,procedure
A,A
ambacho,which
basi,then
gazeti,newspaper
jua,the sun
matukio,events
miongoni,among
Nchi,Country
Wayahudi,Jews
chache,few
Hali,Status
kuanzisha,set up
Kuu,Main
mkono,hand
nusu,half
de,de
iliyokuwa,which was
kompyuta,computer
kucheza,play
kutengeneza,to make
kweli,really
mimba,pregnancy
Nobel,Nobel
ujumla,generally
upya,renewal
yalikuwa,were
Kijerumani,German
mshindi,winner
video,video
wadogo,small
Dola,Dollar
faida,profit
lao,theirs
Mkoa,Region
silaha,weapons
Urusi,Russia
vingine,others
Waingereza,The British
wenyeji,locals
and,and
chanzo,the source
dola,dollars
Juni,June
Kiarabu,Arabic
makazi,residence
rekodi,record
viwanda,industries
zingine,others
Agosti,August
hao,those
Ingawa,Although
kitu,something
kufika,to arrive
mkataba,the contract
nadharia,theory
Uganda,Uganda
watumwa,slaves
alianza,he started
ikawa,it happened
Jamhuri,Republic
masuala,issues
muundo,structure
safari,trip
Septemba,September
Uhindi,India
wagonjwa,patients
ziwa,lake
Bahari,the sea
majina,names
Tarehe,The date
Biblia,The Bible
nyekundu,red
pande,the sides
saa,at
vilevile,as well
ama,either
hifadhi,reserve
iliyo,which is
KK,BC
kuandika,to write
miti,trees
msaada,support
Nairobi,Nairobi
nakala,a copy
ndiye,he is
Waislamu,Muslims
fedha,money
kuunda,to create
nyota,star
ukubwa,the size
Ethiopia,Ethiopia
Julai,July
katiba,the constitution
kinga,immunity
kuendelea,to continue
Mei,May
Serikali,Government
Siku,Day
anaweza,he can
Aprili,April
isipokuwa,except
kanda,tape
maalumu,specialized
mali,property
moto,fire
saba,seven
daraja,grade
kuongezeka,increase
mbaya,bad
gharama,cost
hutumiwa,is used
imekuwa,has been
Kazi,Work
kuelekea,towards
Mataifa,Nations
mbio,race
umma,public
Hadi,Until
karibuni,the latest
Kitabu,A book
kuonekana,appear
Lugha,Language
mashuhuri,famous
orodha,list
Sheria,Law
upinzani,opposition
Kale,Kale
Kigiriki,Greek
Kilatini,Latin
Nigeria,Nigeria
virusi,virus
Wilaya,District
alichunguza,he investigated
Alikuwa,He was
aliyekuwa,who was
kuonyesha,show
Matumizi,Usage
mipango,plans
mkutano,meeting
nao,with them
nzuri,good
soko,market
usiku,at night
usimamizi,management
waliokuwa,who were
yale,those
Aina,Type
asidi,acid
Asili,Nature
km,e.g
ongezeko,increase
pesa,money
reli,rail
wafanyakazi,employees
huweza,can't
jirani,neighbor
mayai,eggs
mfupi,short
ngazi,level
pale,there
Pamoja,Together
wakiwa,being
yanaweza,they can
yenyewe,itself
ishara,sign
John,John
km²,km²
kuchukua,to take
uwanja,the field
vyote,all of them
afya,healthy
dhahabu,gold
heshima,respect
Kila,Each
kilikuwa,it was
majaribio,experiments
makundi,groups
mawe,stones
penye,there
ujenzi,construction
umeme,electricity
wataalamu,professionals
Bwana,Mr
hadithi,a story
kutolewa,release
misitu,forests
teknolojia,technology
ufalme,kingdom
Februari,February
kabila,tribe
Kabla,Before
kisheria,legally
Kongo,Congo
Shule,School
Sudan,Sudan
hutokea,it happens
kurudi,return
mapinduzi,revolution
mikubwa,big
mito,rivers
mtindo,fashion
protini,protein
sala,prayer
Waziri,Minister
zile,those
husababisha,causes
kitovu,hub
kushika,to hold
makabila,tribes
mawazo,thoughts
wanachama,members
ambavyo,which
bei,price
kuona,to see
kusema,say
kushiriki,share
lengo,goal
madaraka,power
malaria,malaria
mapenzi,love
mashamba,fields
mchezaji,player
Mt.,Mt.
pengine,probably
II,II
iliyopita,ago
kasi,speed
kusoma,reading
madawa,drugs
mahitaji,requirements
mifumo,systems
ukuaji,growth
ushindi,victory
bandari,port
homoni,hormones
kike,female
kwani,because
maziwa,milk
mbegu,seeds
Mtakatifu,Holy
rahisi,simple
Zanzibar,Zanzibar
ilianza,it started
jeni,gene
kibinafsi,personally
kusaidia,to help
kuweka,put
madogo,small
Shirikisho,Federation
taarifa,information
Wakazi,Residents
huyo,that one
Kampuni,Company
Kimataifa,Internationally
kutosha,enough
mojawapo,one of them
mraba,square
ngozi,skin
ukoloni,colonialism
ukweli,the truth
viumbe,creatures
wachache,few
Wajerumani,Germans
wanajeshi,soldiers
nzima,whole
United,United
upendo,love
wingi,abundance
kisayansi,scientific
mafundisho,teachings
michezo,sports
ulimwengu,the world
Utafiti,Research
vyama,parties
wowote,whatever
kihistoria,historically
kutafuta,to search
macho,eyes
mitatu,three
Mlima,Mountain
uzito,weight
bendi,the band
Bunge,Parliament
gesi,gas
hatimaye,eventually
herufi,letters
injini,engine
kibiashara,commercial
kidini,religious
majengo,buildings
Maria,Maria
miguu,legs
mwanamke,a woman
Neno,The word
raia,citizens
samaki,fish
tukio,event
askofu,the bishop
baina,between
hai,alive
ilianzishwa,was established
kupiga,to beat
mashindano,competition
sera,policy
uzalishaji,production
Waarabu,Arabs
amani,peace
haina,it does not
kijiji,the village
kikundi,group
ulinzi,protection
uso,face
vikundi,groups
dakika,minutes
Hapo,There
kichwa,head
kujiunga,to join
kumbukumbu,memory
mashirika,organizations
neva,nerves
ofisi,office
Uchumi,Economy
walianza,they started
wananchi,citizens
Yohane,Yohane
aliandika,he wrote
anga,sky
Bendera,Flag
Israeli,Israel
kibinadamu,humanly
kiume,male
kudumu,permanent
Mahali,Place
mchakato,the process
mchanganyiko,combination
mwandishi,the author
nane,eight
sahihi,correct
sherehe,celebration
sura,chapter
umoja,unity
ushahidi,evidence
ushirikiano,cooperation
vidogo,small
wanaume,men
Baba,Father
kukua,growing up
magari,cars
makala,article
sayansi,science
tatizo,the problem
tiba,therapy
umaarufu,popularity
usalama,safety
alipata,he got
bendera,flag
dhana,concept
Ghana,Ghana
Kikristo,Christian
kimsingi,basically
kulikuwa,there was
kupita,to pass
kupokea,to receive
kutokea,occur
madini,minerals
metali,metals
nyeupe,white
roho,spirit
shida,trouble
viungo,ingredients
wafuasi,supporters
Yerusalemu,Jerusalem
yetu,ours
chombo,an instrument
Hapa,Here
hisia,feelings
hutoa,provides
kupatikana,found
madhara,harm
mauaji,murder
Paulo,Paul
sanaa,art
vyake,his
huenda,it goes
ilitolewa,was released
Jackson,Jackson
Kifaransa,French
kufuatana,follow each other
maambukizi,infection
maelezo,details
mapato,income
ndefu,long
Njia,The way
taasisi,institution
upana,width
dhambi,sin
Fransisko,Francisco
juhudi,effort
mingine,others
Ndege,the bird
sayari,the planet
shahada,degree
sukari,sugar
uchunguzi,investigation
uongozi,leadership
barafu,ice
C,C
humo,in it
kukubali,to accept
kumaliza,to finish
mikoa,regions
ndoa,marriage
studio,studio
vyombo,instruments
Waafrika,Africans
York,York
askari,soldier
Chama,party
Chini,Below
James,James
Kiislamu,Islamic
kuwepo,existence
kwao,to them
makampuni,companies
Mfalme,King
Michael,Michael
msanii,an artist
mwanachama,member
nayo,with it
nyama,meat
televisheni,television
thamani,value
udongo,soil
chuma,steel
Hakuna,There is none
kiini,cell
kimoja,one
Kundi,Group
London,London
mapya,new ones
vikuu,principals
vipimo,measurements
alifanya,he did
alisema,he said
bao,score
elementi,elements
Iko,It is there
imara,solid
inajulikana,is known
Jiografia,Geography
kutambua,to identify
maandishi,text
mdomo,mouth
mti,a tree
mwingi,a lot
mzima,whole
Roho,Spirit
Sababu,The reason
